name,address,tel,kind,enabletime,email
北投店,台北市北投區立德路117號,02-28986150,costco,10:00 – 21:30
內湖店,台北市內湖區舊宗路一段268號,02-8791-0110,costco,10:00 – 21:30
新莊店,新北市新莊區建國一路138號,02-29089980,costco,10:00 – 21:30
汐止店,新北市汐止區大同路一段158號,02-2690-7335,costco,10:00 – 21:30
中和店,新北市中和區中山路二段347號,02-22425289,costco,10:00 – 21:30
桃園店,桃園市蘆竹區南崁路一段369號,03-270-6888,costco,10:00 – 21:30
中壢店,桃園市新屋區民族路六段455號,03-4909885,costco,10:00 – 21:30
新竹店,新竹市東區慈雲路188號,03-5638000,costco,10:00 – 21:30
台中店,台中市南屯區文心南三路289號,04-37042855,costco,10:00 – 21:30
嘉義店,嘉義市東區忠孝路668號,05-2719088,costco,10:00 – 21:30
台南店,台南市北區和緯路四段8號,06-3586788,costco,10:00 – 21:30
高雄大順店,高雄市鼓山區大順一路111號,07-5508777,costco,10:00 – 21:30
高雄店,高雄市前鎮區中華五路656號,07-3380006,costco,10:00 – 21:30
,,,,
